nitrogen,phosphorus,potassium,ph,moisture,temperature,recommended_fertilizer,advice
19,38,55,5.9,46,27,DAP,DAP provides nitrogen and phosphorus. It can support root development and improve nutrient availability.
36,84,73,7.0,50,31,NPK 10-26-26,This fertilizer is higher in phosphorus and potassium and can support root development and overall crop growth.
28,8,27,6.3,49,24,Urea,Nitrogen is relatively low. Urea can be applied to improve nitrogen availability and support vegetative growth.
51,44,47,6.9,32,27,NPK 10-10-10,"A balanced NPK fertilizer is recommended to maintain nitrogen, phosphorus, and potassium levels."
73,62,95,6.4,70,33,Potassium Sulphate,Potassium sulphate can support potassium requirements and improve plant strength and crop quality. Avoid unnecessary application when potassium is already sufficient.
62,38,50,6.2,42,25,NPK 10-10-10,"A balanced NPK fertilizer is recommended to maintain nitrogen, phosphorus, and potassium levels."
45,53,47,6.2,48,24,NPK 10-10-10,"A balanced NPK fertilizer is recommended to maintain nitrogen, phosphorus, and potassium levels."
72,74,79,7.4,42,32,NPK 20-20-20,"A balanced higher-strength NPK fertilizer is recommended when nitrogen, phosphorus, and potassium requirements are relatively high."
64,48,51,6.2,47,29,NPK 10-10-10,"A balanced NPK fertilizer is recommended to maintain nitrogen, phosphorus, and potassium levels."
61,84,81,6.6,44,35,NPK 10-26-26,This fertilizer is higher in phosphorus and potassium and can support root development and overall crop growth.
50,72,60,7.2,38,24,NPK 10-26-26,This fertilizer is higher in phosphorus and potassium and can support root development and overall crop growth.
40,26,42,6.4,57,18,DAP,DAP provides nitrogen and phosphorus. It can support root development and improve nutrient availability.
78,82,68,6.4,36,31,NPK 20-20-20,"A balanced higher-strength NPK fertilizer is recommended when nitrogen, phosphorus, and potassium requirements are relatively high."
42,21,76,6.2,33,28,Potassium Sulphate,Potassium sulphate can support potassium requirements and improve plant strength and crop quality. Avoid unnecessary application when potassium is already sufficient.
57,53,50,6.3,58,19,NPK 10-10-10,"A balanced NPK fertilizer is recommended to maintain nitrogen, phosphorus, and potassium levels."
76,24,95,6.1,61,31,Potassium Sulphate,Potassium sulphate can support potassium requirements and improve plant strength and crop quality. Avoid unnecessary application when potassium is already sufficient.
35,11,43,5.0,48,22,Urea,Nitrogen is relatively low. Urea can be applied to improve nitrogen availability and support vegetative growth.
41,51,84,6.4,63,33,NPK 10-26-26,This fertilizer is higher in phosphorus and potassium and can support root development and overall crop growth.
54,57,43,6.1,61,23,NPK 10-10-10,"A balanced NPK fertilizer is recommended to maintain nitrogen, phosphorus, and potassium levels."
48,64,15,6.6,27,33,DAP,DAP provides nitrogen and phosphorus. It can support root development and improve nutrient availability.
15,24,31,5.6,38,26,Urea,Nitrogen is relatively low. Urea can be applied to improve nitrogen availability and support vegetative growth.
30,29,20,5.6,38,37,Urea,Nitrogen is relatively low. Urea can be applied to improve nitrogen availability and support vegetative growth.
66,50,83,5.8,62,26,Potassium Sulphate,Potassium sulphate can support potassium requirements and improve plant strength and crop quality. Avoid unnecessary application when potassium is already sufficient.
48,47,59,6.8,63,22,NPK 10-10-10,"A balanced NPK fertilizer is recommended to maintain nitrogen, phosphorus, and potassium levels."
29,57,44,5.7,55,36,DAP,DAP provides nitrogen and phosphorus. It can support root development and improve nutrient availability.
19,19,46,6.5,42,39,Urea,Nitrogen is relatively low. Urea can be applied to improve nitrogen availability and support vegetative growth.
17,17,23,6.4,17,27,Urea,Nitrogen is relatively low. Urea can be applied to improve nitrogen availability and support vegetative growth.
