soil_moisture,humidity,temperature,rainfall,soil_temperature,wind_speed,rain_forecast,nitrogen,phosphorus,potassium,ph,crop_type,crop_water_factor,irrigation_recommendation,advice
15,25,45,0,28,35,0,40,20,30,6.0,rice,1.3,Irrigate now,Soil moisture is low and rainfall is absent.
20,30,50,2,30,40,0,45,22,32,6.1,maize,1.0,Irrigate now,Low soil moisture with little rainfall indicates irrigation need.
25,35,55,5,32,45,0,50,25,35,6.2,chickpea,0.75,Irrigate soon,Moisture is below the preferred range; irrigation is recommended.
30,40,60,10,28,50,0,55,28,38,6.3,cotton,1.1,Irrigate soon,Moderate-low moisture and limited rainfall indicate irrigation need.
40,45,65,20,27,55,0,60,30,40,6.4,wheat,0.9,Monitor,Moisture is acceptable; monitor before irrigating.
45,50,70,25,26,60,0,65,32,42,6.5,groundnut,0.85,No irrigation,Soil moisture is adequate and recent rainfall is sufficient.
50,55,75,30,25,65,0,70,35,45,6.6,banana,1.25,No irrigation,Adequate moisture and rainfall reduce immediate irrigation need.
35,30,50,0,35,30,1,75,38,48,6.7,rice,1.3,Irrigate now,Low moisture with high temperature and no rainfall increases water demand.
28,35,55,3,36,35,1,80,40,50,6.8,maize,1.0,Irrigate now,Low moisture and warm conditions indicate irrigation need.
42,40,60,8,30,50,1,85,42,52,6.9,chickpea,0.75,Irrigate soon,Moisture is moderate-low; rainfall is insufficient.
55,45,70,15,28,55,1,90,45,55,7.0,cotton,1.1,Monitor,Moisture is sufficient for now; monitor weather and soil.
60,50,80,35,25,65,1,95,48,58,7.1,wheat,0.9,No irrigation,High soil moisture and rainfall indicate no immediate irrigation.
22,20,30,0,38,40,0,100,50,60,7.2,groundnut,0.85,Irrigate now,Very low moisture and no rainfall require irrigation.
48,35,45,12,29,45,0,105,52,62,7.3,banana,1.25,Monitor,Moisture is near an acceptable level; monitor before watering.
