soil_moisture,humidity,temperature,rainfall,soil_temperature,wind_speed,rain_forecast,irrigation_recommendation,advice
15,25,45,0,28,35,0,Irrigate now,Soil moisture is low and rainfall is absent.
20,30,50,2,30,40,0,Irrigate now,Low soil moisture with little rainfall indicates irrigation need.
25,35,55,5,32,45,0,Irrigate soon,Moisture is below the preferred range; irrigation is recommended.
30,40,60,10,28,50,0,Irrigate soon,Moderate-low moisture and limited rainfall indicate irrigation need.
40,45,65,20,27,55,0,Monitor,Moisture is acceptable; monitor before irrigating.
45,50,70,25,26,60,0,No irrigation,Soil moisture is adequate and recent rainfall is sufficient.
50,55,75,30,25,65,0,No irrigation,Adequate moisture and rainfall reduce immediate irrigation need.
35,30,50,0,35,30,1,Irrigate now,Low moisture with high temperature and no rainfall increases water demand.
28,35,55,3,36,35,1,Irrigate now,Low moisture and warm conditions indicate irrigation need.
42,40,60,8,30,50,1,Irrigate soon,Moisture is moderate-low; rainfall is insufficient.
55,45,70,15,28,55,1,Monitor,Moisture is sufficient for now; monitor weather and soil.
60,50,80,35,25,65,1,No irrigation,High soil moisture and rainfall indicate no immediate irrigation.
22,20,30,0,38,40,0,Irrigate now,Very low moisture and no rainfall require irrigation.
48,35,45,12,29,45,0,Monitor,Moisture is near an acceptable level; monitor before watering.
