soil_moisture,humidity,temperature,rainfall,soil_temperature,wind_speed,rain_forecast,nitrogen,phosphorus,potassium,ph,crop_type,crop_water_factor,irrigation_recommendation
50.17,21.75,25.5,8.93,31.05,20.95,0,79.05,11.91,21.09,5.7,wheat,0.9,No irrigation
16.46,33.92,33.0,21.8,23.31,18.5,0,95.88,19.58,42.47,5.83,maize,1.0,Monitor
67.65,43.56,21.85,3.87,32.71,18.9,0,92.97,42.17,78.25,6.14,wheat,0.9,No irrigation
31.12,64.0,37.71,14.47,22.88,3.95,0,97.31,69.11,70.6,7.6,cotton,1.1,Irrigate soon
30.29,64.5,27.3,14.81,23.14,9.48,0,80.91,20.27,62.39,5.49,cotton,1.1,Irrigate soon
29.85,84.78,33.76,8.78,24.86,23.51,0,42.9,11.93,35.5,5.8,maize,1.0,Irrigate now
65.22,59.7,34.36,8.51,27.49,26.77,1,34.29,18.38,63.42,6.62,groundnut,0.85,No irrigation
47.15,82.85,27.99,8.77,34.96,16.27,0,95.58,61.67,24.93,5.48,groundnut,0.85,Monitor
38.22,24.45,27.63,39.84,27.94,29.19,0,88.03,16.87,72.51,7.25,banana,1.25,No irrigation
50.25,27.81,28.7,18.15,34.31,26.52,1,117.19,55.72,48.0,5.32,groundnut,0.85,No irrigation
31.41,64.73,32.18,6.11,31.44,17.1,0,79.89,39.32,22.27,6.09,banana,1.25,Irrigate now
59.37,36.76,24.82,22.69,21.18,22.49,0,117.8,41.96,23.17,6.98,wheat,0.9,No irrigation
24.08,56.94,32.13,38.57,33.93,23.15,0,91.29,33.94,58.66,6.12,wheat,0.9,No irrigation
39.83,37.35,21.28,0.84,28.31,18.48,0,27.1,47.87,29.88,7.72,banana,1.25,Irrigate soon
33.17,55.99,25.57,19.42,28.09,22.25,1,44.3,38.38,41.46,5.28,groundnut,0.85,Monitor
38.71,49.65,29.34,29.16,30.1,29.56,0,26.06,53.69,67.04,5.33,maize,1.0,No irrigation
25.46,51.4,28.44,11.14,23.75,27.85,1,100.8,61.36,21.36,6.96,wheat,0.9,Irrigate soon
60.98,87.83,38.53,33.95,22.49,15.6,0,106.47,64.15,25.7,5.01,cotton,1.1,No irrigation
29.59,74.88,29.1,16.92,34.36,29.87,1,35.48,27.8,77.97,6.74,wheat,0.9,Monitor
18.35,41.95,21.0,19.07,33.79,16.87,0,116.08,14.81,27.08,6.79,groundnut,0.85,Monitor
62.4,48.26,38.83,22.79,28.68,3.11,0,61.92,45.02,48.98,7.8,maize,1.0,No irrigation
51.83,41.99,25.31,5.24,29.68,14.8,0,20.93,47.27,51.59,5.3,wheat,0.9,No irrigation
26.72,38.56,38.67,35.23,33.19,12.35,0,63.82,42.59,34.66,7.95,banana,1.25,No irrigation
50.97,20.55,36.34,11.98,29.95,28.29,0,46.45,63.38,63.26,5.47,chickpea,0.75,No irrigation
48.27,70.23,24.07,25.37,23.96,15.68,0,29.23,35.41,32.98,5.01,banana,1.25,No irrigation
22.2,88.59,23.23,17.67,30.59,17.71,0,27.52,62.99,73.76,6.64,banana,1.25,Irrigate soon
35.31,58.68,28.6,1.67,25.47,28.13,0,109.89,22.6,31.22,5.31,banana,1.25,Irrigate soon
45.79,81.23,39.48,29.98,33.89,8.63,0,117.62,58.65,72.29,5.07,groundnut,0.85,No irrigation
65.85,74.77,28.23,26.8,31.03,8.95,0,98.74,16.49,71.69,7.58,maize,1.0,No irrigation
25.98,84.29,26.99,32.82,33.07,8.24,0,59.85,26.72,19.51,7.32,chickpea,0.75,No irrigation
50.28,47.98,39.62,21.45,34.09,5.23,1,37.86,67.75,32.26,5.33,cotton,1.1,No irrigation
34.01,75.05,28.73,39.37,21.73,27.19,0,45.47,52.53,15.11,7.78,wheat,0.9,No irrigation
