nitrogen,phosphorus,potassium,ph,moisture,temperature,soil_health
118.35,46.69,129.5,7.29,16.59,41.34,Poor
116.56,79.68,23.58,6.3,35.96,40.02,Moderate
100.14,83.16,69.3,5.41,48.82,16.72,Moderate
125.87,65.01,114.92,5.92,77.95,39.11,Moderate
118.97,23.49,72.67,4.68,20.8,33.44,Moderate
114.27,96.91,52.24,5.98,42.87,20.12,Healthy
28.19,50.19,37.9,7.18,40.6,37.48,Healthy
108.04,34.67,125.68,7.72,37.12,22.78,Healthy
105.55,18.28,33.99,4.53,65.08,32.95,Moderate
108.72,79.17,71.54,6.77,19.79,18.09,Moderate
103.58,49.75,86.96,7.56,54.43,29.95,Healthy
88.29,33.88,9.47,6.25,25.02,26.03,Healthy
129.48,27.22,13.45,5.63,30.55,32.87,Moderate
87.98,79.47,101.33,6.13,66.98,19.51,Moderate
13.18,13.55,109.74,6.35,21.29,28.53,Moderate
31.32,71.15,69.69,6.02,31.11,32.02,Moderate
60.65,13.33,22.11,8.35,73.6,33.89,Moderate
47.22,97.07,117.92,7.37,41.46,22.35,Moderate
23.49,90.75,71.09,5.31,31.42,30.64,Moderate
34.75,86.38,114.99,7.38,40.25,31.94,Moderate
91.77,66.74,17.24,6.16,12.91,28.34,Moderate
56.18,18.73,19.99,6.85,21.94,39.98,Moderate
91.35,37.95,90.68,4.59,77.1,28.02,Moderate
119.58,12.86,75.57,6.46,75.65,30.44,Moderate
76.29,30.36,53.08,6.58,40.72,15.58,Healthy
125.68,90.14,25.34,6.72,17.6,33.15,Moderate
49.37,67.65,110.41,7.57,17.54,39.73,Moderate
42.23,8.55,85.45,5.98,68.09,36.82,Moderate
54.4,95.53,47.18,6.56,27.92,40.27,Moderate
33.05,9.27,68.09,8.47,72.42,35.21,Poor
134.71,89.88,80.23,5.76,64.04,32.86,Moderate
62.31,13.97,113.28,5.55,75.58,21.51,Moderate
27.19,83.96,27.23,5.22,51.96,38.61,Moderate
37.5,34.48,117.72,8.39,45.05,18.89,Moderate
11.95,26.82,24.11,7.21,18.53,28.67,Moderate
107.2,60.21,33.97,7.72,60.08,34.95,Healthy
28.35,16.76,139.5,6.09,31.07,28.19,Moderate
102.8,95.78,46.53,8.2,11.74,29.99,Poor
98.76,15.06,25.35,6.18,77.64,31.09,Moderate
140.62,81.41,72.77,7.64,11.25,17.95,Moderate
126.12,80.7,38.73,6.62,52.42,38.43,Moderate
94.44,44.19,59.26,6.2,55.64,38.42,Healthy
73.55,28.54,39.32,7.48,67.16,17.84,Healthy
19.32,61.47,26.2,7.8,31.72,18.88,Moderate
138.94,20.73,46.28,5.11,18.08,15.57,Poor
17.76,21.59,12.74,6.86,57.65,25.63,Moderate
54.52,52.93,131.88,7.9,13.04,19.9,Moderate
43.14,28.69,87.83,6.17,13.45,25.09,Healthy
83.33,14.66,125.85,4.71,74.74,17.68,Poor
128.1,90.75,147.04,7.71,64.56,32.35,Moderate
119.06,17.78,82.73,6.56,70.03,27.5,Healthy
63.91,65.76,43.64,5.06,43.45,26.26,Healthy
42.56,39.91,58.13,5.81,36.56,33.52,Moderate
51.56,95.14,137.87,6.42,32.99,29.46,Moderate
128.8,67.0,121.64,6.63,54.3,22.78,Healthy
112.89,24.23,105.75,7.94,19.25,31.59,Moderate
23.31,73.94,17.25,8.24,19.62,40.89,Poor
122.12,61.4,118.48,7.68,76.22,21.84,Moderate
92.61,14.03,94.34,5.19,49.55,30.46,Moderate
75.24,54.65,115.77,7.7,44.45,31.19,Healthy
140.37,16.37,21.98,4.85,56.05,26.3,Moderate
118.4,68.77,53.38,8.09,63.38,22.3,Healthy
60.99,34.87,27.85,5.09,75.53,26.82,Moderate
63.66,74.32,85.18,8.24,64.62,27.94,Healthy
