nitrogen,phosphorus,potassium,ph,moisture,temperature,soil_health
128.86,43.86,58.35,4.69,26.91,34.77,Moderate
13.89,83.3,129.53,6.58,68.09,18.79,Moderate
132.2,23.27,37.02,7.12,30.24,34.84,Moderate
134.73,14.78,14.72,5.18,29.52,38.93,Poor
23.07,49.0,50.96,5.38,60.93,24.24,Healthy
73.73,59.49,105.59,7.16,29.72,22.79,Healthy
89.05,87.45,41.56,8.11,46.26,33.57,Moderate
36.09,65.15,85.65,6.9,21.37,36.35,Moderate
64.05,67.65,52.14,5.12,26.46,22.34,Healthy
124.38,47.85,106.71,4.96,73.61,21.07,Moderate
36.99,72.71,47.02,8.01,61.18,27.77,Moderate
144.09,30.19,145.68,6.32,62.03,29.23,Moderate
134.19,33.27,108.85,5.55,26.46,32.32,Moderate
118.31,84.63,141.58,4.75,65.95,34.14,Moderate
42.61,68.64,105.11,6.26,41.55,17.98,Moderate
20.46,7.59,106.64,7.54,14.79,37.0,Poor
61.12,34.75,39.83,5.12,21.46,18.16,Moderate
81.19,47.92,121.72,6.14,39.96,30.36,Healthy
46.23,85.16,138.37,7.13,57.64,32.14,Moderate
52.6,63.15,107.1,5.1,19.44,23.23,Moderate
112.9,38.29,132.01,7.16,56.58,25.27,Healthy
129.38,76.53,5.0,6.81,10.0,17.67,Moderate
40.26,51.07,108.92,5.65,63.04,32.0,Moderate
91.96,6.76,45.69,7.59,66.65,39.81,Moderate
78.99,94.33,47.04,5.45,58.23,30.26,Healthy
70.63,13.84,86.74,5.09,56.01,15.95,Moderate
14.91,75.78,117.33,6.79,48.49,16.23,Moderate
150.0,55.92,13.62,6.82,50.54,29.85,Moderate
105.0,35.69,109.11,6.9,36.14,15.95,Moderate
13.99,30.64,107.35,6.47,52.56,15.68,Moderate
75.58,78.9,51.14,6.11,69.75,41.27,Moderate
126.88,44.86,7.95,6.68,51.73,28.68,Healthy
72.25,63.34,85.02,4.71,37.61,32.73,Healthy
78.34,85.23,132.62,7.34,41.96,16.98,Poor
88.91,22.15,138.7,8.29,70.81,30.12,Moderate
14.82,92.06,51.42,7.24,16.4,32.11,Poor
14.81,72.14,86.76,4.67,53.78,36.21,Moderate
137.49,33.94,88.27,5.68,49.55,31.48,Healthy
111.5,20.85,16.3,5.91,76.54,23.12,Moderate
19.61,15.1,59.22,6.77,76.53,39.86,Poor
140.83,36.65,115.08,7.26,67.18,28.23,Moderate
74.01,56.97,42.48,8.37,73.16,40.98,Moderate
47.86,54.04,139.83,6.03,70.32,42.0,Moderate
88.61,61.22,35.07,6.58,79.54,26.87,Healthy
15.34,21.03,105.17,7.09,78.49,36.69,Moderate
15.35,35.25,121.25,7.78,22.15,32.2,Moderate
14.33,84.14,92.85,6.2,26.39,33.93,Moderate
87.68,67.37,64.27,6.4,60.82,39.08,Healthy
17.59,95.86,51.99,7.43,73.98,15.06,Poor
30.97,8.4,9.55,5.12,60.11,15.88,Poor
142.0,94.07,66.75,8.39,69.43,15.77,Poor
39.53,43.25,70.35,4.9,74.87,15.22,Moderate
31.59,66.69,115.22,7.6,20.45,28.84,Moderate
95.28,26.22,37.24,5.46,23.11,28.29,Healthy
82.14,23.97,102.57,6.41,15.68,15.09,Moderate
134.98,77.1,83.77,6.28,49.67,35.31,Moderate
15.31,60.27,127.63,6.17,17.74,25.42,Poor
148.21,54.65,22.84,4.58,58.37,36.49,Moderate
59.35,23.05,62.78,6.11,60.74,32.94,Moderate
22.45,38.25,5.83,7.48,67.51,19.63,Moderate
100.01,90.0,41.87,5.47,72.87,30.34,Moderate
35.61,11.49,100.11,4.71,72.47,33.67,Moderate
95.65,81.32,10.91,5.28,34.82,21.45,Moderate
19.61,21.54,95.83,5.7,24.38,21.52,Moderate
121.11,83.29,127.19,7.9,49.36,31.42,Moderate
22.46,84.2,30.63,5.64,68.63,22.85,Moderate
32.97,100.0,131.63,8.32,66.03,24.12,Poor
24.18,16.99,150.0,6.25,69.94,28.45,Poor
73.91,36.18,89.07,5.27,74.87,35.98,Moderate
104.55,43.32,117.35,4.57,63.9,37.24,Moderate
135.48,17.47,106.14,6.24,50.11,33.08,Moderate
57.12,96.76,47.42,4.56,23.63,39.99,Poor
50.83,57.88,42.69,4.66,50.26,24.37,Healthy
44.7,46.12,90.42,7.39,57.54,21.64,Healthy
77.53,68.58,18.4,6.24,50.29,21.66,Healthy
138.01,24.45,93.26,8.3,46.69,41.03,Poor
16.12,47.33,13.69,5.18,47.43,26.04,Poor
74.29,81.22,119.77,6.9,78.45,27.52,Moderate
137.72,41.61,119.68,7.66,75.65,41.15,Moderate
12.84,73.93,104.7,6.82,35.4,23.72,Moderate
42.24,73.68,134.78,7.53,60.21,41.52,Moderate
114.97,86.36,111.96,4.93,43.68,31.46,Moderate
75.17,18.89,57.38,6.83,40.2,37.54,Healthy
99.24,80.46,128.52,4.9,73.74,38.09,Moderate
41.26,55.55,128.39,8.17,32.59,37.54,Moderate
138.56,97.31,143.44,7.68,42.12,21.06,Poor
46.42,98.71,35.18,5.45,11.97,30.57,Moderate
77.62,85.65,63.78,5.13,32.83,22.13,Moderate
117.55,86.06,140.23,4.89,57.72,20.27,Poor
14.84,88.41,75.84,5.41,45.24,26.13,Moderate
90.65,93.72,15.38,5.9,12.64,33.42,Poor
20.99,25.0,12.79,5.62,49.51,19.41,Moderate
124.53,29.84,149.37,6.75,26.28,28.39,Moderate
38.29,25.43,105.53,7.34,47.31,21.77,Moderate
97.69,73.58,76.48,4.8,78.8,40.92,Poor
19.69,21.82,147.87,7.88,63.48,33.11,Moderate
94.22,98.85,142.71,5.45,70.16,15.0,Poor
81.68,96.08,126.46,8.31,66.12,32.4,Moderate
131.54,55.81,59.59,7.36,48.31,40.4,Healthy
84.0,88.12,110.33,6.71,10.6,40.89,Poor
26.03,58.28,48.88,6.66,59.51,15.0,Moderate
93.41,21.37,80.58,7.58,46.46,38.05,Moderate
102.61,83.26,109.09,4.98,54.82,23.0,Moderate
88.01,74.12,14.1,5.33,37.6,39.24,Moderate
37.93,20.85,124.82,5.58,73.96,18.36,Moderate
37.07,67.88,134.93,7.82,31.0,17.52,Moderate
41.88,17.26,91.57,6.31,47.53,37.1,Moderate
14.21,10.89,106.81,8.5,42.07,18.9,Poor
104.67,56.84,20.79,5.71,33.15,24.74,Moderate
11.4,72.47,131.44,4.58,69.06,19.02,Poor
49.93,21.08,33.03,6.45,72.66,28.42,Moderate
103.43,65.73,90.48,6.51,63.04,37.85,Healthy
42.94,58.22,102.1,5.25,40.5,30.6,Moderate
132.41,6.5,10.99,6.01,36.03,39.67,Poor
28.34,63.83,50.6,4.99,53.43,34.94,Moderate
102.26,28.49,30.86,8.23,77.92,28.22,Moderate
18.12,26.19,74.81,6.11,78.05,37.47,Moderate
42.56,17.76,126.85,6.29,72.0,23.06,Moderate
77.2,80.37,135.16,5.53,20.29,37.62,Moderate
85.9,15.08,10.61,6.38,41.6,39.91,Moderate
135.67,29.41,131.52,6.14,50.51,24.05,Healthy
120.76,51.69,8.7,7.95,50.97,41.01,Moderate
30.45,42.55,105.28,8.35,44.6,15.5,Poor
88.9,78.47,82.24,5.6,15.95,25.34,Moderate
104.13,8.76,56.37,4.57,67.82,18.48,Moderate
41.54,53.7,120.78,6.04,38.11,33.69,Moderate
123.16,51.69,34.45,8.5,19.74,40.48,Poor
45.9,28.57,71.52,7.16,44.33,16.77,Healthy
100.84,98.44,128.26,4.86,47.07,39.55,Poor
144.52,38.08,111.25,5.69,51.14,36.88,Moderate
123.2,34.83,129.51,5.68,30.9,36.32,Moderate
29.0,69.37,119.74,5.91,61.47,19.52,Moderate
111.39,65.65,120.91,4.94,26.86,30.33,Moderate
69.72,77.17,82.82,5.97,11.25,15.81,Moderate
99.77,68.72,29.35,6.1,53.01,28.96,Healthy
100.46,82.6,28.95,5.7,13.54,24.44,Moderate
42.11,5.0,130.99,5.72,34.34,19.12,Moderate
28.36,67.61,57.04,8.41,65.77,34.71,Moderate
92.46,94.28,108.09,7.98,74.34,21.31,Moderate
88.67,78.27,124.04,6.38,57.15,37.18,Moderate
93.76,15.61,49.53,5.25,24.53,33.57,Moderate
36.08,5.21,88.83,6.25,13.85,23.0,Moderate
149.46,76.82,43.41,4.53,46.9,34.06,Moderate
103.58,25.82,56.71,7.14,12.49,18.13,Healthy
16.8,85.22,109.76,6.87,39.84,20.35,Moderate
11.16,41.78,142.09,7.62,61.38,23.22,Moderate
12.62,38.53,65.54,6.13,55.83,29.1,Healthy
60.44,69.47,47.21,6.36,25.17,31.56,Healthy
116.61,53.53,98.84,8.18,12.09,24.44,Moderate
118.65,59.61,126.75,5.51,55.74,16.71,Moderate
132.8,69.9,50.25,5.46,48.8,25.15,Moderate
119.73,26.35,16.19,5.3,77.69,24.39,Moderate
127.36,24.52,81.17,5.01,56.16,35.62,Moderate
56.24,81.61,126.18,5.95,41.27,41.45,Moderate
103.1,63.84,147.82,5.71,12.86,35.54,Moderate
76.93,7.04,41.88,6.15,46.78,32.0,Healthy
37.8,89.23,96.21,7.72,35.52,30.22,Moderate
82.72,35.71,45.02,6.06,61.84,28.86,Healthy
34.31,22.44,106.1,7.32,47.04,21.81,Moderate
73.2,83.7,131.0,5.83,70.04,25.19,Moderate
107.91,54.16,85.76,6.92,63.18,31.84,Healthy
14.67,20.36,87.5,7.05,56.47,35.71,Moderate
150.0,46.6,93.94,5.56,27.71,37.68,Moderate
62.58,35.08,132.37,7.59,51.15,27.19,Healthy
122.0,14.63,119.38,5.3,41.92,36.97,Moderate
103.75,13.52,47.66,8.45,32.94,25.26,Moderate
70.85,72.22,49.75,7.74,18.13,34.35,Moderate
64.0,56.98,41.74,6.19,29.95,28.92,Healthy
113.87,88.27,47.84,5.18,23.1,28.69,Moderate
24.4,95.18,98.77,6.72,23.85,28.93,Moderate
125.38,98.6,60.12,7.31,71.01,15.53,Moderate
72.42,57.02,84.9,5.13,50.83,34.55,Healthy
135.99,20.07,55.45,8.09,58.14,26.52,Moderate
115.29,92.33,32.64,6.78,71.8,31.89,Moderate
59.46,38.78,53.95,7.8,57.88,26.45,Healthy
134.33,82.12,55.69,6.81,19.87,41.25,Moderate
82.66,79.56,15.26,4.6,78.51,40.61,Poor
130.2,95.79,60.45,5.07,32.98,28.55,Moderate
106.57,83.82,110.06,5.27,37.36,18.38,Moderate
145.7,57.05,147.32,5.99,70.22,32.27,Moderate
120.43,73.81,5.0,4.67,24.09,16.82,Poor
79.72,59.04,107.24,7.93,60.67,35.62,Moderate
107.91,38.29,145.73,6.1,25.51,38.21,Moderate
83.2,70.52,59.4,8.04,53.08,17.05,Moderate
73.15,14.94,23.26,5.63,63.67,34.68,Moderate
74.58,48.07,25.92,7.27,52.23,34.18,Healthy
87.91,17.75,49.56,7.0,48.22,34.88,Healthy
75.63,85.63,120.27,5.18,14.72,21.54,Poor
16.8,31.59,47.13,5.41,65.76,22.1,Moderate
86.83,54.9,14.97,4.73,51.14,36.74,Moderate
60.3,95.62,15.16,4.5,17.03,42.0,Poor
59.65,29.71,66.28,8.18,25.49,20.02,Healthy
29.39,5.89,56.25,4.54,40.58,30.69,Poor
58.22,42.88,11.03,5.28,49.9,40.27,Moderate
81.95,53.93,99.64,5.21,22.51,41.56,Moderate
83.76,54.96,32.68,8.5,52.74,37.98,Moderate
11.06,97.13,74.99,5.0,50.1,33.72,Poor
145.8,37.96,71.73,4.76,11.96,19.03,Poor
136.85,26.08,138.99,5.5,66.82,15.38,Poor
54.6,50.29,31.26,5.56,41.92,26.68,Moderate
131.63,9.01,27.32,6.03,69.16,19.23,Moderate
28.09,82.13,142.93,4.85,18.43,41.59,Poor
93.51,68.06,14.76,7.98,35.51,22.4,Moderate
79.11,79.2,92.41,5.46,64.95,15.52,Moderate
63.73,26.12,78.74,5.92,20.18,28.54,Healthy
125.06,5.32,130.5,7.5,76.79,21.34,Poor
73.73,84.0,112.12,5.16,45.86,30.33,Moderate
122.53,16.61,121.15,7.93,65.58,40.97,Moderate
79.49,26.02,15.29,5.21,11.49,19.34,Moderate
47.37,50.62,30.86,8.4,41.13,24.46,Moderate
31.27,80.34,33.34,4.77,62.11,31.55,Moderate
84.65,65.36,47.61,7.82,38.86,36.02,Healthy
150.0,45.3,109.47,5.28,75.88,16.66,Moderate
103.03,44.32,111.85,6.28,39.81,28.47,Healthy
98.29,32.9,54.69,4.5,47.96,41.73,Moderate
71.8,90.82,23.18,4.63,44.79,29.54,Moderate
14.67,98.08,144.82,4.59,44.97,25.84,Poor
54.64,55.2,127.91,7.48,26.75,15.75,Moderate
55.41,85.74,130.37,5.94,43.1,40.96,Moderate
