year,state,crop,season,area,production,annual_rainfall,fertilizer,pesticide,yield
2009,Madhya Pradesh,Sweet potato,Whole Year,3497.0,20803.0,904.1,544902.54,594.49,6.02
2025,Madhya Pradesh,Sunflower,Kharif,1088.98,1198.25,1073.3,143924.63,324.8,1.100347
2001,Nagaland,Jute,Kharif,300.0,300.0,1532.0,30639.0,78.0,0.986667
2004,Jharkhand,Sugarcane,Whole Year,542.97,13958.0,1149.2,58825.37,114.02,25.71
2026,Uttar Pradesh,Linseed,Rabi,30957.93,18904.19,666.0,5209717.92,8528.93,0.610641
2014,Bihar,Lentil,Rabi,23511.35,22923.57,1246.4,3900.04,63.11,0.975
2011,Jammu and Kashmir,Potato,Kharif,1015.0,7416.0,887.6,170032.8,334.95,7.66125
2024,Chhattisgarh,Sweet potato,Whole Year,2832.49,14757.7,1211.9,376091.75,769.42,5.210155
2015,Odisha,Potato,Winter,5626.0,57236.0,1210.1,888401.66,1856.58,9.88963
2004,Uttar Pradesh,Arhar/Tur,Kharif,346484.41,282300.32,782.6,26009.18,2270.73,0.814756
2018,Jammu and Kashmir,Peas & beans (Pulses),Kharif,330.0,1417.0,1016.3,53526.0,115.5,3.848333
2006,Assam,Peas & beans (Pulses),Rabi,19143.0,11716.0,1774.9,2444752.53,4211.46,0.616667
2018,Andhra Pradesh,Castor seed,Kharif,34682.0,14535.0,1220.5,5625420.4,12138.7,0.374286
2024,Madhya Pradesh,Sesamum,Whole Year,290582.63,168518.56,801.4,39310310.69,76477.77,0.579933
2023,Mizoram,Maize,Kharif,4395.52,7652.95,2254.9,608111.38,981.13,1.741077
2017,Puducherry,Turmeric,Kharif,8.0,24.0,1582.4,1259.52,3.04,3.0
2021,Goa,other oilseeds,Whole Year,795.66,2551.04,3588.2,133374.48,315.78,3.2062
2020,Madhya Pradesh,Arhar/Tur,Kharif,265674.08,338746.04,919.0,60528.25,3682.69,1.275044
2013,Karnataka,Mango,Whole Year,64293.81,455674.28,1446.2,14660.25,82.79,7.087374
2026,Odisha,Small millets,Kharif,29901.38,13950.61,1480.4,3717882.68,9293.65,0.466554
2013,Puducherry,Dry chillies,Kharif,1.0,4.0,1083.2,144.49,0.27,4.0
2009,Odisha,Moong(Green Gram),Autumn,21731.0,4949.0,1330.3,3386124.42,3694.27,0.338
2008,Uttarakhand,Other Cereals,Kharif,70562.0,83401.0,1363.7,10093188.48,6350.58,1.101818
2020,Rajasthan,Barley,Rabi,54029.9,143226.4,316.5,10600.39,295.63,2.650873
2000,Tripura,Rice,Kharif,243070.0,547520.0,2437.5,23862181.9,63198.2,2.185
